---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\Data\SC\Tmp\SC_hip_rstar1-output-euler-pelvis.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
1.666666666666667e-002 -2.961252370636461e-001 9.691946819932176e-002 1.024475591304259e+000 1.522766711393378e+000 1.105060126914415e+000 1.566345652102742e+000
2.500000000000000e-002 -2.957087038845792e-001 9.664755438661407e-002 1.024456244595340e+000 1.523580129897377e+000 1.104882061799918e+000 1.566674320266456e+000
3.333333333333333e-002 -2.952835666860741e-001 9.636787649188150e-002 1.024438832037965e+000 1.524399385545784e+000 1.104736544012797e+000 1.567027076660359e+000
4.166666666666666e-002 -2.948516753469452e-001 9.608116845672367e-002 1.024424605889581e+000 1.525205034838016e+000 1.104637999598944e+000 1.567395262718763e+000
5.000000000000000e-002 -2.944136939107257e-001 9.578779694225624e-002 1.024416189557437e+000 1.525984275862173e+000 1.104612982096715e+000 1.567765923646677e+000
5.833333333333333e-002 -2.939712889876172e-001 9.548917503912503e-002 1.024413777227083e+000 1.526738348258570e+000 1.104659884532631e+000 1.568151581901848e+000
6.666666666666667e-002 -2.935252624033482e-001 9.518638324302774e-002 1.024418093376734e+000 1.527465964278606e+000 1.104779952711475e+000 1.568554808557074e+000
7.500000000000000e-002 -2.930762701555665e-001 9.488058847173045e-002 1.024429276957855e+000 1.528168290049205e+000 1.104967711753558e+000 1.568977345705831e+000
8.333333333333333e-002 -2.926249147156101e-001 9.457303472695050e-002 1.024446617557111e+000 1.528849750611112e+000 1.105210715745454e+000 1.569421398587281e+000
9.166666666666666e-002 -2.921718124863539e-001 9.426501510924099e-002 1.024468520900785e+000 1.529517652780345e+000 1.105490804090920e+000 1.569890129609589e+000
9.999999999999999e-002 -2.917175907469924e-001 9.395779375512765e-002 1.024492712055763e+000 1.530179805573650e+000 1.105786555622437e+000 1.570385884399434e+000
1.083333333333333e-001 -2.912628031306671e-001 9.365251064042766e-002 1.024516538558871e+000 1.530842253017989e+000 1.106075860287152e+000 1.570907902191058e+000
1.166666666666667e-001 -2.908078490633372e-001 9.335015325189054e-002 1.024537288084331e+000 1.531508845306914e+000 1.106337872439721e+000 1.571451505608701e+000
1.250000000000000e-001 -2.903530089889732e-001 9.305163407033293e-002 1.024552501003494e+000 1.532181374748329e+000 1.106554405419478e+000 1.572008073218232e+000
1.333333333333333e-001 -2.898986157018881e-001 9.275791119106767e-002 1.024560232074978e+000 1.532858720639824e+000 1.106710999357822e+000 1.572564571991339e+000
1.416666666666667e-001 -2.894452497217473e-001 9.247005313183646e-002 1.024559193836816e+000 1.533535984508688e+000 1.106797522064932e+000 1.573103470591848e+000
1.500000000000000e-001 -2.889932149191216e-001 9.218886459878888e-002 1.024549398850551e+000 1.534213169374868e+000 1.106817057517622e+000 1.573610283349166e+000
1.583333333333333e-001 -2.885448167268429e-001 9.191625149773998e-002 1.024529336933512e+000 1.534860453428599e+000 1.106748785593004e+000 1.574048139515660e+000
