---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\Data\SC\Tmp\SC_ngait_og5-output-euler-leftlegtd.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
2.608333333333333e+000 -6.218195653382610e-001 -1.551022375851427e-001 1.454742810924541e+000 -9.721104759186054e-001 -5.322556120224420e-001 1.681467191926601e-001
2.616666666666667e+000 -6.505948408197673e-001 -1.542040271778116e-001 1.460365977842310e+000 -9.994525326973096e-001 -5.166061035536071e-001 1.948435477230399e-001
2.625000000000000e+000 -6.794067004937320e-001 -1.531041490493839e-001 1.465898329753779e+000 -1.024737624011871e+000 -5.022481609041507e-001 2.220878822564809e-001
2.633333333333333e+000 -7.079478372429123e-001 -1.516719081484870e-001 1.471278039032534e+000 -1.047238045008497e+000 -4.892320678776423e-001 2.498592946550415e-001
2.641666666666667e+000 -7.359492501657873e-001 -1.498357774234944e-001 1.476448203038442e+000 -1.066478602297990e+000 -4.774552614027768e-001 2.780849705899551e-001
2.650000000000000e+000 -7.631947350010235e-001 -1.475420917835468e-001 1.481371077775091e+000 -1.082072642266163e+000 -4.666824447815654e-001 3.067073437051788e-001
2.658333333333333e+000 -7.895082284463287e-001 -1.447755906614747e-001 1.486021278359635e+000 -1.093746590166753e+000 -4.565830218553176e-001 3.356003819929185e-001
2.666666666666667e+000 -8.147509537692409e-001 -1.415530284531668e-001 1.490388667844713e+000 -1.101321384388459e+000 -4.467822589542211e-001 3.645295618228959e-001
2.675000000000000e+000 -8.388144617403311e-001 -1.379113582375628e-001 1.494483367619168e+000 -1.104692388236296e+000 -4.369243600239968e-001 3.931318703890489e-001
2.683333333333333e+000 -8.616092279862100e-001 -1.338998074047606e-001 1.498332299557537e+000 -1.103809942917242e+000 -4.267429865155343e-001 4.209335295640636e-001
2.691666666666666e+000 -8.830566788083992e-001 -1.295748757184136e-001 1.501964123300053e+000 -1.098662815192412e+000 -4.161238571259436e-001 4.474084865684658e-001
2.700000000000000e+000 -9.030904005307956e-001 -1.249941884087094e-001 1.505395639673454e+000 -1.089269578744244e+000 -4.051325146688114e-001 4.720505093585202e-001
2.708333333333333e+000 -9.216631488158669e-001 -1.202091779364001e-001 1.508632466930249e+000 -1.075679890654352e+000 -3.940050936451772e-001 4.944396195322632e-001
2.716666666666666e+000 -9.387530605963762e-001 -1.152614011539386e-001 1.511676588890009e+000 -1.057981081479466e+000 -3.831199535603202e-001 5.142968326227996e-001
2.725000000000000e+000 -9.543660269648829e-001 -1.101874275122046e-001 1.514527020896651e+000 -1.036303449533981e+000 -3.729518533640822e-001 5.315085941712698e-001
2.733333333333333e+000 -9.685350944507220e-001 -1.050293042215544e-001 1.517175544235704e+000 -1.010820687398139e+000 -3.640030409288419e-001 5.461102905820083e-001
2.741666666666666e+000 -9.813182923592496e-001 -9.984232707162399e-002 1.519604433560133e+000 -9.817457776874440e-001 -3.567237818859108e-001 5.582466194536834e-001
2.750000000000000e+000 -9.927932171634990e-001 -9.469509472834692e-002 1.521783733554495e+000 -9.493224923744690e-001 -3.514473361811618e-001 5.681318362006352e-001
