---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.FileName = "..\..\Data\SC\Tmp\SC_staticfor_again1-output-euler-leftlegtd.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.HipMeasure2 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.KneeJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.AnkleJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile2.SubtalarMeasure
1.666666666666667e-002 -5.633347890282490e-001 -8.069615994057733e-002 1.460680010029098e+000 6.438667318330481e-002 -3.940422655238545e-001 4.646995790509002e-001
2.500000000000000e-002 -5.630387700090586e-001 -8.105308678286360e-002 1.460280858580302e+000 6.451146684661099e-002 -3.935850137832530e-001 4.641152924819044e-001
3.333333333333333e-002 -5.628205553557458e-001 -8.136806546727393e-002 1.459939508446647e+000 6.461034751267544e-002 -3.931624616997224e-001 4.635847189211979e-001
4.166666666666666e-002 -5.627085290349511e-001 -8.162373834957237e-002 1.459680039779493e+000 6.467348477785039e-002 -3.927929803929869e-001 4.631330629945644e-001
5.000000000000000e-002 -5.627188919608226e-001 -8.180949438049989e-002 1.459515228694570e+000 6.469252103841301e-002 -3.924870983385642e-001 4.627761378353068e-001
5.833333333333333e-002 -5.628636388435386e-001 -8.191663161547980e-002 1.459453000253381e+000 6.465977550209144e-002 -3.922539119651234e-001 4.625283166268341e-001
6.666666666666667e-002 -5.631392549300071e-001 -8.194627649983732e-002 1.459486900430730e+000 6.457294127850777e-002 -3.920904084971748e-001 4.623846286798370e-001
7.500000000000000e-002 -5.635333121665990e-001 -8.190168053080082e-002 1.459606273071085e+000 6.443653444838858e-002 -3.919979113834661e-001 4.623437263192012e-001
8.333333333333333e-002 -5.640198590626352e-001 -8.179373095066911e-002 1.459789513238045e+000 6.426200860929439e-002 -3.919701758045849e-001 4.623920199953823e-001
9.166666666666666e-002 -5.645628451683665e-001 -8.163901014115194e-002 1.460007604509173e+000 6.406632979944875e-002 -3.919958017356779e-001 4.625083117722467e-001
9.999999999999999e-002 -5.651190314039065e-001 -8.145869629114277e-002 1.460226742926797e+000 6.387009257402984e-002 -3.920583609661603e-001 4.626638984428191e-001
1.083333333333333e-001 -5.656422711763093e-001 -8.127627942262605e-002 1.460412680453789e+000 6.369488613650463e-002 -3.921379343563434e-001 4.628248974809140e-001
1.166666666666667e-001 -5.660870784462817e-001 -8.111332251494097e-002 1.460536730135036e+000 6.356169182522120e-002 -3.922174335782966e-001 4.629595728916702e-001
1.250000000000000e-001 -5.664224491635622e-001 -8.099061319382983e-002 1.460574697380061e+000 6.348047876970980e-002 -3.922699065163338e-001 4.630332020320713e-001
1.333333333333333e-001 -5.666247967201592e-001 -8.091964840315624e-002 1.460518375354334e+000 6.345814125133857e-002 -3.922822627624766e-001 4.630277410677681e-001
1.416666666666667e-001 -5.666858715361606e-001 -8.090607466396071e-002 1.460369281769506e+000 6.349223154647794e-002 -3.922417568967498e-001 4.629324567509087e-001
1.500000000000000e-001 -5.666102523133177e-001 -8.094876510986215e-002 1.460138554503150e+000 6.357389596659344e-002 -3.921405555068701e-001 4.627467643776090e-001
1.583333333333333e-001 -5.664148249963501e-001 -8.104033863898263e-002 1.459844674146577e+000 6.368968336490129e-002 -3.919768687387477e-001 4.624795898689122e-001
