---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.FileName = "..\..\Data\SC\Tmp\SC_staticfor_again1-output-euler-rightlegtd.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure0
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure1
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure2
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.KneeJointMeasure
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.AnkleJointMeasure
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.SubtalarMeasure
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.HipMeasure2 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.KneeJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.AnkleJointMeasure Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile3.SubtalarMeasure
1.666666666666667e-002 -5.694172055957663e-001 5.411424912434937e-002 -1.593112311693463e+000 1.389045476531441e-002 -4.141746357294581e-001 4.494342437686065e-001
2.500000000000000e-002 -5.686187407431046e-001 5.382744329079992e-002 -1.593612351947741e+000 1.506006403833774e-002 -4.157485650044592e-001 4.509945846719867e-001
3.333333333333333e-002 -5.679182895535819e-001 5.357600348314473e-002 -1.594047958395953e+000 1.614197047381856e-002 -4.171896382649725e-001 4.524252612990359e-001
4.166666666666666e-002 -5.673608114636212e-001 5.337379102143536e-002 -1.594393341049586e+000 1.708802515589356e-002 -4.184317426144285e-001 4.536614039855642e-001
5.000000000000000e-002 -5.669763554050161e-001 5.322913797676332e-002 -1.594631706191439e+000 1.786162247606200e-002 -4.194253053405816e-001 4.546518245139256e-001
5.833333333333333e-002 -5.667914198420609e-001 5.314915165604939e-002 -1.594747468795931e+000 1.842733449087372e-002 -4.201172397358654e-001 4.553399390199718e-001
6.666666666666667e-002 -5.668110999238086e-001 5.313182890841683e-002 -1.594742951397605e+000 1.877243587205002e-002 -4.205090244135978e-001 4.557227138487883e-001
7.500000000000000e-002 -5.670312991311439e-001 5.317474831322722e-002 -1.594623516122939e+000 1.889180686687632e-002 -4.205884491219989e-001 4.557841179738542e-001
8.333333333333333e-002 -5.674274178888887e-001 5.326882535098965e-002 -1.594410252148001e+000 1.880383088011817e-002 -4.203811173102908e-001 4.555489972875417e-001
9.166666666666666e-002 -5.679582549263151e-001 5.340027470823094e-002 -1.594132922605432e+000 1.854586429954451e-002 -4.199360418891672e-001 4.550677684353210e-001
9.999999999999999e-002 -5.685692688725775e-001 5.355161285709653e-002 -1.593824736468320e+000 1.817043588289545e-002 -4.193222287844972e-001 4.544110686542398e-001
1.083333333333333e-001 -5.691975900639773e-001 5.370371645355077e-002 -1.593518327053271e+000 1.773993659985499e-002 -4.186226992310012e-001 4.536628978616478e-001
1.166666666666667e-001 -5.697771109470339e-001 5.383943915825995e-002 -1.593240327818664e+000 1.732030079350234e-002 -4.179206798062521e-001 4.529051517790800e-001
1.250000000000000e-001 -5.702534612451811e-001 5.394236478371872e-002 -1.593022041597284e+000 1.697124325923759e-002 -4.173073767321996e-001 4.522350249934133e-001
1.333333333333333e-001 -5.705804523461963e-001 5.400423480050764e-002 -1.592878222813949e+000 1.674229671638051e-002 -4.168448675275780e-001 4.517145892655102e-001
1.416666666666667e-001 -5.707304177308255e-001 5.402180841776039e-002 -1.592817931396058e+000 1.666610134040697e-002 -4.165775956430532e-001 4.513896198114217e-001
1.500000000000000e-001 -5.706940637573597e-001 5.399755952846008e-002 -1.592839592556345e+000 1.675641148501583e-002 -4.165243239253406e-001 4.512778111610383e-001
1.583333333333333e-001 -5.704811573545577e-001 5.393889212291159e-002 -1.592931424002432e+000 1.700760225932239e-002 -4.166782990686546e-001 4.513695452978809e-001
