---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.FileName = "..\..\Data\SC\Tmp\SC_staticfor_again1-output-euler-trunk.txt"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Search = 
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX
col2  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY
col3  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ
col4  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0
col5  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1
col6  Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosX Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosY Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisPosZ Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot0 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot1 Main.JntParameterOptModel.KinematicStudy.JointAngleOutputs.OutputFile1.PelvisRot2
8.333333333333334e-001 -3.152681721057015e-001 3.822750373285422e-002 1.026392084396370e+000 1.655705934046685e+000 9.728637040523616e-001 1.683238931622552e+000
8.416666666666667e-001 -3.153008058866423e-001 3.823849650363510e-002 1.026358369313338e+000 1.655269875928440e+000 9.726551102701215e-001 1.682929264506449e+000
8.500000000000000e-001 -3.153413506603454e-001 3.824019987910394e-002 1.026308282531803e+000 1.654681494330263e+000 9.723558309761677e-001 1.682451332367807e+000
8.583333333333333e-001 -3.153871373874435e-001 3.823602955503257e-002 1.026247778476874e+000 1.653993942541999e+000 9.719990877048081e-001 1.681868874992087e+000
8.666666666666666e-001 -3.154351909008573e-001 3.823027509814261e-002 1.026184071558975e+000 1.653269941556163e+000 9.716245445329670e-001 1.681258587913201e+000
8.749999999999999e-001 -3.154825820416411e-001 3.822748501873238e-002 1.026124710906927e+000 1.652575714296016e+000 9.712735674243573e-001 1.680700790774609e+000
8.833333333333332e-001 -3.155267331541329e-001 3.823176088029744e-002 1.026076588780414e+000 1.651974372491466e+000 9.709839888905916e-001 1.680269356551337e+000
8.916666666666665e-001 -3.155656509419423e-001 3.824612750558901e-002 1.026045120812450e+000 1.651519180930388e+000 9.707854343671682e-001 1.680023048371476e+000
8.999999999999998e-001 -3.155980398810345e-001 3.827207272660611e-002 1.026033783255919e+000 1.651247904821959e+000 9.706968427128633e-001 1.679999957914075e+000
9.083333333333331e-001 -3.156233235382609e-001 3.830972110410640e-002 1.026043299586455e+000 1.651173232218142e+000 9.707197133704626e-001 1.680210067733250e+000
9.166666666666664e-001 -3.156415755923479e-001 3.835758781283603e-002 1.026072794772717e+000 1.651290977947121e+000 9.708506479980441e-001 1.680642830593227e+000
9.249999999999997e-001 -3.156535612514884e-001 3.841368571084382e-002 1.026118332683047e+000 1.651567737439214e+000 9.710667634046928e-001 1.681257046270834e+000
9.333333333333330e-001 -3.156605279960036e-001 3.847507573429124e-002 1.026174393247436e+000 1.651956266556688e+000 9.713388485125822e-001 1.681993995963045e+000
9.416666666666663e-001 -3.156640457860523e-001 3.853831270153449e-002 1.026234052909770e+000 1.652398656835718e+000 9.716301877411402e-001 1.682781139397248e+000
9.499999999999996e-001 -3.156658059561223e-001 3.859973811976541e-002 1.026289859449975e+000 1.652834014849679e+000 9.719010999597755e-001 1.683540460257707e+000
9.583333333333329e-001 -3.156675089861448e-001 3.865586650493142e-002 1.026334737378145e+000 1.653204449223530e+000 9.721133229388714e-001 1.684196685561858e+000
9.666666666666662e-001 -3.156708080761366e-001 3.870375872161894e-002 1.026362853064080e+000 1.653460122479192e+000 9.722344699812759e-001 1.684685350615660e+000
9.749999999999995e-001 -3.156771706307672e-001 3.874146558340631e-002 1.026370236851460e+000 1.653563361414213e+000 9.722413946832944e-001 1.684959206853192e+000
