---- AnyBody Output File ---------------------------------
Study: Main.JntParameterOptModel.KinematicStudy
Operation: Main.JntParameterOptModel.KinematicStudy.Kinematics
----------------------------------------------------------
Constants (Name = Value): 
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.FileName = "PelvisSTLSegOutput.txt"
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Digits = 15
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Width = 22
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.Style = ScientificNumber
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.NumberFormat.FormatStr = "%22.15e"
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Search = 
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.SepSign = " "
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.LineSepSign = ""
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.TitleSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.ConstSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.VarSectionOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.ColumnNamesOnOff = On
Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.Header.LinePrefix = ""
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.JntParameterOptModel.KinematicStudy.t
col1  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[0]
col2  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[1]
col3  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[2]
col4  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[0]
col5  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[1]
col6  Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[2]
----------------------------------------------------------
Main.JntParameterOptModel.KinematicStudy.t Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[0] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[1] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisLin[2] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[0] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[1] Main.JntParameterOptModel.KinematicStudy.PelvisStlVisualization.PelvisStlSegOutput.PelvisRot[2]
4.700000000000000e-001 3.099383222083903e-001 -8.435398530770081e-001 9.743519829021176e-001 -3.123772478857916e+000 -3.600760736675479e-003 1.845201410753237e-002
4.800000000000000e-001 3.091444098405529e-001 -8.308778217221099e-001 9.735436937353255e-001 -3.123518065438963e+000 -7.108723177877918e-003 1.783066441080557e-002
4.900000000000000e-001 3.083467923111153e-001 -8.181339730346503e-001 9.728836740390144e-001 -3.123350837789779e+000 -1.101672718853664e-002 1.646784361849647e-002
5.000000000000000e-001 3.075350147006357e-001 -8.053364084696965e-001 9.723918820191438e-001 -3.123186247611105e+000 -1.523877436498444e-002 1.437368795598155e-002
5.100000000000000e-001 3.066988078370169e-001 -7.925207960802073e-001 9.720875112707105e-001 -3.122926076894925e+000 -1.969830827348740e-002 1.160327584164736e-002
5.200000000000000e-001 3.058268555150435e-001 -7.797193120657811e-001 9.719961524400260e-001 -3.122499925888468e+000 -2.433037223634393e-002 8.385403340014993e-003
5.300000000000000e-001 3.049098482928127e-001 -7.669640072804126e-001 9.721322741660071e-001 -3.121870378482756e+000 -2.909708813786827e-002 4.995457464533842e-003
5.400000000000000e-001 3.039399089021588e-001 -7.542822587201360e-001 9.724963797162475e-001 -3.121066845014421e+000 -3.400553534757744e-002 1.725577020801633e-003
5.500000000000000e-001 3.029130525910523e-001 -7.417011988861956e-001 9.730647204143492e-001 -3.120172659976435e+000 -3.910405623174884e-002 -1.273600251126133e-003
5.600000000000001e-001 3.018277484106703e-001 -7.292410065954932e-001 9.738062255583284e-001 -3.119327211165645e+000 -4.443992316605150e-002 -3.914734498426047e-003
5.700000000000001e-001 3.006871390954372e-001 -7.169205529021865e-001 9.746845636430439e-001 -3.118669013901928e+000 -4.999177508719344e-002 -6.242347110525753e-003
5.800000000000001e-001 2.994968774711620e-001 -7.047503208772527e-001 9.756798054863014e-001 -3.118321941113486e+000 -5.563293770328603e-002 -8.265052317412872e-003
5.900000000000001e-001 2.982650203029447e-001 -6.927414787207757e-001 9.767755232299421e-001 -3.118359171031249e+000 -6.113693238461737e-002 -1.006915087812397e-002
6.000000000000001e-001 2.969992418470068e-001 -6.808994342567282e-001 9.779641544721213e-001 -3.118818346426351e+000 -6.622908417147833e-002 -1.170405485304497e-002
6.100000000000001e-001 2.957063230255719e-001 -6.692245814169715e-001 9.792389568415274e-001 -3.119701041379319e+000 -7.063509172780025e-002 -1.319636183217103e-002
6.200000000000001e-001 2.943928326246264e-001 -6.577127175907636e-001 9.805898541897714e-001 -3.120972322633804e+000 -7.411733484923966e-002 -1.454796425819319e-002
6.300000000000001e-001 2.930670871903423e-001 -6.463563394176499e-001 9.820009049777428e-001 -3.122558784801457e+000 -7.650092682775656e-002 -1.574336889453433e-002
6.400000000000001e-001 2.917410956801305e-001 -6.351459600262198e-001 9.834484549632307e-001 -3.124348973867812e+000 -7.769245693324045e-002 -1.676945944047695e-002
6.500000000000001e-001 2.904310657496373e-001 -6.240708566686478e-001 9.849005504833809e-001 -3.126199228978484e+000 -7.768939235560124e-002 -1.763751295289523e-002
6.600000000000001e-001 2.891563026496433e-001 -6.131193677700179e-001 9.863184350481883e-001 -3.127944981129935e+000 -7.657724945844668e-002 -1.839336169580252e-002
6.700000000000002e-001 2.879372473176944e-001 -6.022791009638507e-001 9.876600491452612e-001 -3.129416011636971e+000 -7.451429470075333e-002 -1.910927079777904e-002
6.800000000000002e-001 2.867933426505382e-001 -5.915371648020512e-001 9.888848326233199e-001 -3.130453238261036e+000 -7.170662138756723e-002 -1.986112048992354e-002
6.900000000000002e-001 2.857412167299761e-001 -5.808803010523231e-001 9.899586126339693e-001 -3.130923660048487e+000 -6.838035039490209e-002 -2.070075099523645e-002
7.000000000000002e-001 2.847934952910095e-001 -5.702949486806190e-001 9.908571432246314e-001 -3.130731619224532e+000 -6.475981899383587e-002 -2.163401571448008e-002
7.100000000000002e-001 2.839581675952622e-001 -5.597674694846750e-001 9.915674611707763e-001 -3.129826041851108e+000 -6.105552454978414e-002 -2.261285112263654e-002
7.200000000000002e-001 2.832381270137230e-001 -5.492844960185023e-001 9.920871805171715e-001 -3.128203349939879e+000 -5.745754335185938e-002 -2.354406937984097e-002
7.300000000000002e-001 2.826305625972874e-001 -5.388330672506526e-001 9.924227048460612e-001 -3.125906913284826e+000 -5.412846543561090e-002 -2.430913262154243e-002
7.400000000000002e-001 2.821263512786087e-001 -5.284004247779448e-001 9.925875916448056e-001 -3.123024423115509e+000 -5.119544485309469e-002 -2.478483000724344e-002
