time(sec),semimem,bifem,vasmed,vaslat,rf,medgas,latgas,tfl,tibant,peronl,soleus,addmagnus,gmax,gmed,sartorius
0.000000,0.033063,-0.045357,0.083452,-0.017046,0.037963,0.013903,-0.155233,-0.005245,0.176267,0.031275,-0.227296,-0.019800,-0.204795,-0.024190,-0.039360
0.000833,-0.005926,-0.017169,-0.085397,-0.025015,0.023233,0.060829,-0.043614,-0.006390,0.157918,-0.046426,-0.435841,0.021728,-0.081850,-0.013017,1.167829
0.001667,-0.057027,0.172819,-0.034068,0.009830,-0.014982,0.093822,0.167006,-0.011816,0.230527,-0.042353,-0.352107,-0.024947,0.370412,-0.005798,1.878527
0.002500,-0.008697,-0.063364,0.022583,0.000657,-0.046026,0.096619,0.202654,0.001956,0.038475,-0.050038,-0.103389,-0.000336,0.218775,0.013794,1.505006
0.003333,-0.000400,-0.105959,0.067743,-0.009663,-0.060904,0.079039,0.188946,0.018275,-0.126270,0.008189,-0.093920,-0.025709,-0.047558,0.024398,1.527703
0.004167,0.048892,0.168878,0.311018,-0.010300,-0.061599,0.047836,0.489483,0.005233,0.072205,-0.092285,0.140900,0.003496,0.023991,0.013348,1.113451
0.005000,0.017568,-0.169082,0.367041,0.001490,-0.091591,0.005177,0.751094,0.002332,-0.043672,-0.076810,0.303658,0.005986,-0.047399,-0.004096,0.832818
0.005833,0.010310,-0.094048,0.232188,-0.005879,-0.120802,0.023251,0.526844,-0.000055,-0.392503,-0.086385,0.061388,0.006059,0.052115,-0.016646,0.410968
0.006667,-0.011328,0.155740,0.132140,0.006504,-0.126167,0.009595,0.310416,-0.017202,-0.174204,-0.003687,-0.084521,0.085533,0.000520,-0.006907,-0.145683
0.007500,-0.012094,-0.139525,-0.021487,0.005835,-0.119250,-0.031066,0.162976,-0.002887,-0.032325,-0.013207,0.011946,0.078875,0.114513,0.005588,-0.880717
0.008333,0.006191,-0.131197,-0.129124,-0.000709,-0.095285,-0.029320,0.111109,0.002904,-0.017922,0.023892,0.189796,0.056446,0.275892,0.019463,-1.003941
0.009167,0.019882,0.246298,-0.119158,0.010527,-0.044619,-0.041191,0.389603,0.000466,0.077188,0.068833,0.286519,0.091346,0.540986,0.014574,-0.366455
0.010000,-0.021975,0.208623,-0.164912,0.006438,0.047441,-0.055263,1.012371,-0.010051,0.208958,0.044232,0.202007,0.053265,-0.015646,0.005872,-0.156760
0.010833,0.022231,-0.033529,-0.230384,0.012973,0.099605,-0.045938,0.724337,-0.009273,0.255203,-0.003850,-0.000573,0.049008,-0.019822,-0.012140,-0.241154
0.011667,0.008772,-0.131516,0.086616,0.007098,0.108553,-0.010357,-0.056499,-0.015051,0.163467,-0.035461,-0.152613,0.028053,-0.160520,-0.019934,-0.293030
0.012500,-0.039301,-0.225279,0.259459,-0.000496,0.120094,-0.037672,-0.324866,0.006339,0.075066,0.042911,-0.210628,0.012351,-0.269650,-0.008816,-0.126441
0.013333,0.004672,-0.127909,0.357666,0.006678,0.128301,-0.046140,-0.065808,-0.006896,0.104305,0.041419,-0.364588,0.020793,-0.139619,0.002291,-0.440106
0.014167,0.004288,-0.103387,0.319070,-0.013635,0.125863,-0.044502,-0.083307,-0.005921,-0.106174,0.107434,-0.365921,-0.009062,0.485221,0.017809,-0.445133
0.015000,-0.032048,0.189629,0.084099,-0.001002,0.092186,-0.052640,-0.096580,0.008206,-0.216562,0.081933,-0.027399,0.000570,0.087592,0.003707,-0.348990
0.015833,-0.001633,0.095319,-0.320293,-0.011108,0.072125,-0.065103,-0.200777,0.003453,-0.118532,-0.053120,0.184529,-0.012758,-0.273495,0.006066,-0.284490
0.016667,0.013603,-0.190994,-0.114271,0.000308,0.075123,-0.007625,-0.300263,0.011267,-0.041445,-0.165916,0.137423,-0.008034,-0.353693,-0.011433,0.509466
0.017500,-0.020354,0.003616,-0.030277,0.007468,0.036152,0.019809,-1.058458,0.008773,-0.116853,-0.117019,0.180566,-0.053957,-0.053458,-0.026972,2.016896
0.018333,0.004231,0.213309,0.032706,-0.000909,-0.005911,0.070564,-1.577574,-0.003248,-0.079592,-0.089257,0.320529,-0.089520,0.248245,0.002175,1.940865
0.019167,-0.024937,-0.021801,-0.128997,0.006618,-0.035239,0.046638,-1.172597,0.005737,-0.007360,-0.102644,-0.044032,-0.113680,-0.371358,0.007495,0.317708
0.020000,0.001555,-0.081889,-0.482819,-0.009615,-0.042874,0.059690,-0.571070,0.007214,0.134439,0.085713,-0.194882,-0.051073,-0.237684,0.017827,-0.459995
0.020833,0.033207,0.236761,-0.735853,0.011588,-0.045646,0.023317,-0.282880,0.009897,0.086515,0.056633,0.055510,-0.041936,-0.008590,-0.012451,0.145579
0.021667,0.000136,0.042892,-0.473853,-0.032304,-0.057792,0.039110,0.160121,0.006329,0.014684,0.176914,0.042929,-0.013182,0.344879,-0.009790,0.566994
0.022500,0.034333,-0.152931,-0.068678,-0.010211,-0.046551,0.076976,0.528668,-0.015220,-0.030448,0.161957,0.013190,-0.045062,-0.177515,-0.010353,0.109941
0.023333,0.008996,0.166109,-0.146075,-0.001322,-0.049496,0.102554,0.879812,0.000963,-0.054886,0.050044,0.138712,-0.027852,-0.116123,-0.007726,-0.130747
0.024167,-0.009807,0.020400,-0.459584,0.011154,-0.054608,0.067906,0.741625,-0.008732,-0.002078,-0.028382,0.085016,-0.050947,0.033148,0.014113,-0.185343
0.025000,-0.014301,-0.166783,-0.211746,0.015470,-0.068319,0.076774,0.219302,-0.019414,-0.039628,-0.102939,-0.018204,0.011568,-0.028145,0.010307,-0.827421
0.025833,-0.015481,0.164247,0.421532,0.007815,-0.051887,0.023246,-0.148602,0.000976,-0.011958,-0.077508,-0.008447,0.018275,0.106522,0.012903,-0.768671
0.026667,-0.009695,0.041042,0.479721,0.007415,-0.043620,-0.008151,-0.185313,-0.004002,0.088495,-0.025494,-0.111700,0.088230,0.369590,0.001152,-0.117689
0.027500,0.005941,-0.227872,0.526009,0.002522,-0.036646,-0.088369,0.055672,0.005494,-0.012994,-0.002901,-0.179645,0.086581,0.274658,-0.007091,-0.050584
0.028333,0.006998,0.018051,0.324749,0.012053,-0.025460,-0.192066,0.041861,-0.005313,-0.140253,0.038183,-0.131562,0.084932,-0.015258,-0.009228,-0.077151
0.029167,0.041523,0.121913,0.101826,-0.022130,-0.039033,-0.286723,0.144961,0.003264,0.004657,0.134232,-0.073031,0.049599,-0.153263,-0.008614,0.168054
0.030000,0.022978,-0.203767,0.048436,0.004186,-0.015384,-0.212857,0.264071,0.005141,0.291971,0.070566,-0.053632,0.016628,-0.220777,0.005740,0.091362
0.030833,0.025195,0.143607,0.137520,0.016990,0.028584,-0.090667,0.375297,-0.002571,0.373729,-0.000514,-0.003157,0.007262,-0.303944,0.014000,-0.188857
0.031667,0.012905,0.130100,0.040592,0.003306,0.010209,-0.011204,0.594150,0.005006,0.209287,-0.065709,0.117327,-0.022413,0.222610,0.015405,-0.782907
0.032500,0.009431,-0.095360,0.040376,-0.002086,0.002929,0.046335,1.070117,0.006513,0.059218,-0.069601,0.171736,-0.026138,0.288396,-0.001641,-1.025134
0.033333,-0.023396,-0.210348,0.048747,-0.006516,0.028150,0.082770,0.638839,0.001646,-0.111613,-0.273230,0.098606,-0.061417,-0.366224,-0.012417,-0.716456
0.034167,0.039221,-0.101026,-0.004626,-0.020676,0.021676,0.065809,-0.369496,-0.015243,-0.243566,-0.164315,0.122121,-0.026761,-0.312355,-0.014025,-1.204590
0.035000,-0.020785,0.189592,0.243838,-0.006582,0.023373,0.069208,-0.676873,0.007417,-0.170183,-0.111309,-0.019072,-0.052470,-0.307388,-0.002648,-1.211228
0.035833,-0.037875,0.183925,0.520925,0.003103,0.045486,0.077457,-0.911299,-0.002251,-0.137581,-0.005672,-0.129776,-0.003193,-0.124225,0.013169,-1.274368
0.036667,-0.047005,-0.155849,0.361126,0.003485,0.051731,0.091824,-0.551374,0.006707,-0.144365,0.153414,-0.174866,-0.028463,0.397234,0.013282,-1.424915
0.037500,-0.023009,0.055459,0.496575,0.009355,0.052813,0.106246,-0.019022,0.012609,-0.128236,0.153751,-0.214428,-0.005607,0.148765,0.007457,-0.655243
0.038333,-0.046003,0.045325,0.247343,-0.000202,0.063703,0.071166,0.014175,-0.007753,-0.174281,0.106323,-0.161913,0.058347,0.026215,-0.010868,0.079328
0.039167,0.001653,-0.270293,-0.101064,-0.005817,0.058779,0.095858,0.061158,0.009687,-0.255567,0.058939,-0.080010,0.019338,-0.053283,-0.014229,0.673765
0.040000,-0.031867,0.004174,-0.252901,0.007607,0.043686,0.052316,0.139561,-0.004824,-0.133813,-0.017196,-0.028359,0.032832,0.313834,-0.012850,0.877479
0.040833,-0.023879,0.041586,-0.275390,-0.000224,0.018877,0.021566,0.020127,-0.003704,0.150801,-0.186285,0.142897,0.098038,0.672806,-0.001850,1.438686
0.041667,-0.005506,-0.187932,0.037885,-0.002005,-0.011997,-0.041564,0.023833,0.004020,0.148408,-0.022732,0.418961,0.062185,0.056765,0.009919,1.644516
0.042500,0.023872,0.033432,0.112158,0.013549,-0.028051,-0.065983,0.053113,0.002299,0.094417,0.158240,0.204739,0.076757,0.076652,0.017268,2.267432
0.043333,0.065028,0.248557,-0.187809,-0.004380,-0.020154,-0.063463,-0.064354,0.010328,0.074550,0.152173,-0.072079,0.035058,-0.182244,0.016534,3.193553
0.044167,0.015434,-0.079941,-0.390780,0.003252,-0.018546,-0.027778,-0.088122,0.009921,0.066801,0.013543,-0.126484,0.010749,0.471072,-0.008613,3.733166
0.045000,0.009688,0.008811,-0.826361,-0.005367,-0.028752,-0.018622,-0.071768,-0.002004,0.083948,0.032719,-0.025039,-0.018182,-0.075938,-0.013923,2.826281
0.045833,0.007367,0.179600,-1.067985,-0.000792,-0.049430,-0.009485,-0.034204,0.017097,0.094968,0.097530,0.032321,-0.056042,-0.281487,-0.015877,1.010390
0.046667,0.018709,-0.080101,-0.883535,-0.002401,-0.049486,-0.014293,-0.009125,0.012718,0.077369,0.081916,0.324474,-0.058311,-0.365408,-0.004099,0.117813
0.047500,0.011991,0.008377,-0.696782,-0.009587,-0.045586,0.003533,-0.020736,0.001009,0.031383,0.026432,0.388867,-0.073234,-0.391884,0.008743,-0.057126
0.048333,-0.014452,0.185334,-0.523081,-0.001900,-0.049052,-0.036615,-0.041796,-0.004629,0.012001,-0.115804,0.065979,-0.057348,-0.272959,0.010748,-1.154839
0.049167,0.014162,-0.160806,-0.108855,-0.015196,-0.045876,-0.045514,-0.038171,-0.013222,0.020644,-0.119768,-0.114318,-0.085438,0.349119,0.012749,-2.539952
0.050000,0.011634,0.037151,0.162168,0.000577,-0.004042,-0.034650,0.019725,0.010459,0.045434,-0.134277,-0.265463,-0.052991,-0.023806,-0.010432,-2.731928
0.050833,-0.000356,0.197681,0.359188,0.002091,0.051401,-0.009551,0.070251,-0.022409,0.011918,-0.076828,-0.340063,-0.057971,-0.186164,-0.014239,-2.701492
0.051667,0.011313,-0.167209,0.586972,0.002778,0.053296,-0.014349,0.081398,-0.000753,-0.006367,-0.024676,-0.233347,0.008269,-0.235465,-0.012863,-2.614563
0.052500,-0.040322,-0.060228,0.702801,0.009665,0.033819,0.008451,0.053068,-0.003163,0.012983,0.081643,-0.068805,-0.001508,-0.100130,0.002851,-2.283375
0.053333,-0.031657,0.207780,0.757566,0.000789,0.041480,0.027543,-0.032512,-0.004008,0.022930,0.046012,0.060906,-0.016026,0.233917,0.012763,-1.681935
0.054167,-0.040808,-0.131032,0.642833,-0.001870,0.059180,0.072812,-0.082625,-0.004045,0.053171,0.044171,0.079467,0.058272,0.365884,0.011531,-0.994214
0.055000,-0.002003,-0.225253,0.517452,-0.007609,0.057464,0.043839,-0.061296,-0.019443,0.039858,0.087530,0.014636,0.012672,-0.112026,0.010907,-0.182484
0.055833,0.028764,0.138713,0.566007,-0.006500,0.006881,0.050017,-0.001812,-0.027453,-0.004424,-0.136595,-0.109631,-0.014554,-0.133440,-0.006811,-0.071909
0.056667,-0.002060,-0.004585,0.390588,-0.002348,-0.053045,-0.021729,0.297846,0.005362,-0.050158,-0.087457,-0.119219,0.034300,-0.049824,-0.012782,0.222509
0.057500,0.008678,-0.126456,0.425740,-0.004451,-0.080650,-0.041854,0.217713,-0.006884,-0.072714,-0.035311,0.001308,-0.009500,-0.118028,-0.009753,0.790878
0.058333,0.028477,-0.133692,0.252056,0.005511,-0.051811,-0.020273,0.093798,-0.015486,-0.053877,-0.031747,0.043393,0.029399,-0.092124,0.003193,1.020246
0.059167,0.048338,0.187765,-0.233624,0.010610,-0.019611,-0.001837,-0.178870,-0.005003,-0.056607,0.002114,0.062928,0.042072,-0.008164,0.015071,0.811762
0.060000,-0.003915,0.218998,-0.542485,0.003072,-0.013324,-0.014762,-0.542294,-0.008511,-0.080539,0.066876,0.063318,0.031289,-0.032666,0.018097,1.089373
0.060833,0.009657,-0.006441,-0.614239,0.012507,0.002018,-0.010963,-0.357120,0.005003,-0.077241,0.041232,0.032412,0.038725,0.168790,-0.003900,1.160341
0.061667,0.020997,-0.188121,-0.535439,-0.002429,0.003102,-0.010558,-0.174799,-0.003638,-0.082808,-0.011032,0.027639,0.054932,0.017831,-0.014452,0.839386
0.062500,0.005994,0.041834,-0.421225,0.009690,-0.015379,-0.029083,-0.111002,-0.019594,-0.051546,-0.005682,0.021136,0.029567,0.074836,-0.018136,0.711744
0.063333,-0.069535,0.092443,-0.321930,-0.018575,-0.033858,-0.029885,0.012929,0.014702,-0.025794,0.011365,0.009302,0.063496,0.175373,-0.006101,0.874297
0.064167,-0.017606,-0.131214,-0.224451,0.018369,-0.031545,-0.032306,0.170550,0.005905,0.029171,0.028068,0.021340,0.012373,0.060078,0.011887,1.508857
0.065000,0.004612,-0.182059,-0.147006,-0.001087,-0.014657,-0.034020,0.177923,0.003794,0.087043,-0.003013,0.028161,0.016730,0.006221,0.009738,2.288897
0.065833,-0.024704,-0.081001,-0.064816,-0.014993,0.031034,-0.034988,0.204778,0.009930,0.131748,0.014117,0.033937,-0.019415,0.125491,0.003168,2.146109
0.066667,-0.003933,-0.066539,-0.088331,0.007473,0.056278,0.008928,0.108922,0.014579,0.174532,0.040719,0.050619,-0.000088,0.113902,-0.004007,0.879497
0.067500,0.020536,0.141782,-0.092898,0.000696,0.034711,0.023760,0.084280,0.015784,0.070855,0.018526,0.060547,-0.018528,0.095765,-0.010262,-0.291826
0.068333,-0.020728,0.216045,-0.086038,0.001601,0.025565,0.060662,0.208007,0.011278,-0.040152,0.050249,0.041939,-0.041475,0.106103,-0.009644,-0.366900
0.069167,-0.014964,-0.010075,-0.066459,0.010642,-0.003331,0.061687,0.188726,-0.008994,-0.117314,-0.033769,0.001538,-0.059015,-0.015846,-0.000170,-0.811125
0.070000,0.012803,-0.119870,0.214903,0.007824,-0.045855,0.049751,0.207738,0.027307,-0.272339,-0.028882,-0.028283,-0.067793,-0.066176,0.012667,-1.547289
